ID,# of RTs,HashTags,TweetIds,Date,Replier Ids,Retweeted Distinct Ids,Tweets,Urls in Tweet,Username,,
36,0,,7.96E+017,11/8/2016 22:09:00,,,art,https://twitter.com/thegreatcow99/status/796112387208159232,StrayLiger,,
37,1891,VoterFraud,7.96E+017,11/8/2016 21:18:00,,389785864,"?WOW: another proof of #VoterFraud!! Machine refuses to allow vote for Trump!!

RT b/c Media will never report this…",https://t.co/XVwOBsROcx,Kaknick,,
38,1142,,7.96E+017,7/3/2016 0:51:00,,3057538137,Fuck Donald Trump &amp, his supporters .????,https://t.co/zEPYNuD578,Rere_6968,
39,529,,7.96E+017,11/8/2016 18:50:00,,1373887298,if you're thinking of voting for trump remember on december 16th he's going to be on trial for child rape..,,princessstay,,
40,992,,7.96E+017,11/8/2016 21:49:00,,540206153,NEWS: George W. &amp, Laura Bush did not vote for Trump.  They left the presidential line empty &amp, cast votes for downballot GOP candidates,,CorrinaSicily
41,7,,7.96E+017,11/8/2016 21:44:00,,1293047958,DON'T ?? VOTE ?? FOR ?? TRUMP ??,https://twitter.com/z_flexing/status/796023909996838912,catchfirenjhs,,
42,2,KABOOM,7.96E+017,11/8/2016 21:53:00,,7.25E+017,"Thank you, Mr. President Donald J. Trump ?? It's been an absolute pleasure watching you ""CRUMBLE"" the…",,AusterPhilip,,
43,0,,7.96E+017,11/8/2016 22:09:00,,,El momento en que abuchearon a Donald   Trump cuando acudió a votar (+video),http://bit.ly/2eBoOcS,El_Cooperante,,
44,31,DazforPresident,7.96E+017,11/8/2016 22:10:00,,2946537478,Just to be clear i hate Clinton too. I literally ask you all to vote for me as presiden,,nikkixkelly,,
45,17,ElectionDay,7.96E+017,11/8/2016 21:56:00,,197123996,"Según el 1er boletín del CNE, así van las cosas en EEUU:

Donald Trump: 20%
Hillary Clinton: 25%
Nicolás Maduro: 55%

",,alexg93,,
46,0,,7.96E+017,11/8/2016 22:11:00,,,U.S. Intelligence Agencies Stopped a Silent Obama/Clinton Coup, Now You Are Needed (Video),https://wp.me/p6uZrJ-8Qm/,joepalojoe,
47,219,,7.96E+017,11/8/2016 10:52:00,,325307952,Primeiramente bom dia segundamente Hillary Clinton vai sambar na cara do Trump e ser a primeira mulher presidente dos EUA,,spideromanoff,,
48,255,,7.96E+017,11/8/2016 22:00:00,,322696611,"BREAKING: The first Florida exit poll numbers have been released.

Trump 55%
Clinton 39%
Johnson 6%",,jasonlacko,,
